Product,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,Product Type,Compare
Rice,0.31199131850244166,0.39609332609875203,1.2072707542051004,1.01,2.3792729245794897,2.783505154639175,Plants,No
Potatoes,0.12295081967213115,0.21857923497267762,0.6284153005464481,0.64,0.8606557377049181,0.9562841530054644,Plants,No
Peas,0.22952295229522954,0.25202520252025207,0.44104410441044106,0.36,0.7515751575157515,0.8415841584158417,Plants,No
Soymilk,0.51,0.58,0.98,0.91,1.47,1.74,Plants,No
Tofu,0.8812499999999999,1.0,1.975,1.61,3.4687499999999996,4.543749999999999,Plants,Yes
Olive Oil,2.13,2.86,5.42,5.09,7.63,10.79,Plants,No
Tomatoes,0.37,0.39,2.09,0.65,5.95,12.62,Plants,No
Bovine Meat (beef herd),18.841524573721163,20.245737211634903,49.88966900702106,30.27,105.2407221664995,135.0,Animal Products,No
Bovine Meat (dairy herd),7.563323201621074,9.088145896656536,16.8693009118541,17.29,25.785207700101317,28.713272543059777,Animal Products,Yes
Lamb & Mutton,11.84407796101949,12.253873063468266,19.85007496251874,20.29,27.2063968015992,30.06496751624188,Animal Products,No
Pig Meat,4.270704573547589,4.579728059332509,7.6081582200247215,6.53,13.757725587144623,14.703337453646476,Animal Products,No
Poultry Meat,2.2806004618937648,2.4133949191685913,5.698614318706697,4.34,11.616628175519631,12.020785219399539,Animal Products,No
Milk,1.51,1.7,3.15,2.65,4.83,7.0,Animal Products,No
Cheese,4.624094202898551,4.945652173913043,10.815217391304346,8.44,17.807971014492754,26.625905797101446,Animal Products,No
Fish (farmed),2.3722867792150844,2.477526858145144,5.976759482569612,3.46,11.62464371848279,14.31265073448805,Animal Products,No
Crustaceans (farmed),5.016926201760325,5.4434664861205135,18.19228165199729,9.96,35.28774542992552,77.9214624238321,Animal Products,No
